id,title,ingredients,ingredients_normalized
159,Watergate Cake,"['1 box white cake mix', '1 c. + 1 Tbsp. vegetable oil', '1 pkg. pistachio instant pudding mix', '1 c. ginger ale', '3 eggs', '1/2 c. chopped pecans', '1 (8-oz.) pkg. cool whip', '3/4 c. milk', '1 pkg. of pistachio instant pudding mix']","""['white cake mix', 'vegetable oil', 'pistachio instant pudding mix', 'ginger ale', 'egg', 'pecan', 'cool whip', 'milk']"""
160,Plum Muffins,"['2 c. self-rising flour', '1 c. crushed walnuts', '3 eggs', '2 small jars baby food plums', '2 c. sugar', '2 tsp. allspice', '1 c. oil']","""['flour', 'walnut', 'egg', 'plum', 'sugar', 'allspice', 'oil']"""
161,Cranberry Punch,"['1 qt. cranberry juice', '1 qt. ginger ale', '1 small cherry Jell-O', '1 c. boiling water', '6 oz. frozen lemonade', '3 c. cold water']","""['cranberry juice', 'ginger ale', 'cherry jell-o', 'water', 'lemonade']"""
162,Sweet Potato Pie,"['4 sweet potatoes, boiled and drained', '2 sticks butter', '2 c. sugar', '4 to 6 eggs', 'nutmeg (season to taste)', '2 c. Milnot']","""['sweet potato', 'butter', 'sugar', 'egg', 'nutmeg', 'milnot']"""
163,Butternut Pound Cake,"['2 c. sugar', '1 c. Crisco oil', '4 eggs', '2 1/2 c. self-rising flour', '1/2 c. sweet milk', '1 tsp. vanilla flavor', '1 Tbsp. butternut flavor']","""['sugar', 'crisco oil', 'egg', 'self-rising flour', 'milk', 'vanilla', 'butternut']"""
164,Morning Glory Muffins,"['2 c. all-purpose flour', '1 1/2 c. sugar', '2 tsp. baking soda', '1 tsp. ground cinnamon', '1/2 tsp. salt', '2 c. grated carrots', '1/2 c. raisins', '1/2 c. coconut', '1/2 c. chopped pecans', '1 (8 oz.) can crushed pineapple, drained', '1 c. vegetable oil', '3 large eggs, lightly beaten', '2 tsp. vanilla']","""['flour', 'sugar', 'baking soda', 'cinnamon', 'salt', 'carrot', 'raisin', 'coconut', 'pecan', 'pineapple', 'oil', 'egg', 'vanilla']"""
165,Chicken Breasts With Wild Rice,"['1 3/4 c. quick cooking long grain and wild rice or plain rice', '1 (10 3/4 oz.) can condensed cream of mushroom or chicken soup (undiluted)', '1 (10 3/4 oz.) can French onion soup (undiluted)', '2 1/2 oz. jar sliced mushrooms (undrained)', '1/2 c. water', '4 chicken breasts', '2 Tbsp. melted butter or margarine', '1/4 c. cornflake crumbs or cracker crumbs']","""['long grain rice', 'wild rice', 'rice', 'condensed cream of mushroom soup', 'condensed cream of chicken soup', 'french onion soup', 'sliced mushrooms', 'water', 'chicken breast', 'butter', 'margarine', 'cornflake crumb', 'cracker crumb']"""
166,Creole Green Beans,"['1 green pepper, chopped', '1 onion, chopped', '2 Tbsp. bacon drippings', '1 Tbsp. flour', '1 tsp. salt', '1 tsp. sugar', 'dash of paprika', '1 (16 oz.) can tomatoes', '1 (16 oz.) can green peas']","""['green pepper', 'onion', 'bacon drippings', 'flour', 'salt', 'sugar', 'paprika', 'tomato', 'pea']"""
167,Banana Bread,"['2 eggs', '3 bananas, cut in small pieces', '1 stick butter, cut in small pieces', '1 c. sugar', '1 3/4 c. flour', '3/4 tsp. soda', '1 1/4 tsp. cream of tartar', '1 c. chopped nuts (optional)']","""['egg', 'banana', 'butter', 'sugar', 'flour', 'baking soda', 'cream of tartar', 'nut']"""
168,Corned Beef Hash Swirls,"['Bisquick', 'can corned beef hash', 'mustard', 'salt and pepper to taste']","""['bisquick', 'corned beef', 'mustard', 'salt', 'pepper']"""
169,Patio Potatoes,"['1 (2 lb.) bag hash browns, thawed', '1/2 c. melted margarine', '1/2 tsp. salt', '1/2 tsp. pepper', '1/2 c. chopped onion', '1 can cream of mushroom soup', '1 pt. sour cream', '10 oz. or 2 c. grated sharp Cheddar cheese']","""['hash brown', 'margarine', 'salt', 'black pepper', 'onion', 'cream of mushroom soup', 'sour cream', 'cheddar cheese']"""
170,Sky High Biscuits,"['3 c. flour', '4 1/2 tsp. baking powder', '2 Tbsp. sugar', '1/2 tsp. salt', '3/4 c. cream of tartar', '3/4 c. butter', '1 egg, beaten', '1 c. milk']","""['flour', 'baking powder', 'sugar', 'salt', 'cream of tartar', 'butter', 'egg', 'milk']"""
171,Lasagne,"['1 lb. lean hamburger', '1 jar Ragu spaghetti sauce (plain)', '1 small container Ricotta cheese', '1 pkg. lasagne noodles (approximately 8 noodles)', '1 large bag preshredded Mozzarella cheese']","""['hamburger', 'spaghetti sauce', 'ricotta cheese', 'lasagne noodles', 'mozzarella cheese']"""
172,German Potato Salad,"['4 lb. new potatoes (red skin)', '2 good size onions, finely chopped', '3 stalks celery, finely chopped', '1/2 c. cider vinegar', '1/2 c. hot bacon drippings', '8 strips bacon, fried and crumbled', 'salt and pepper to taste', 'parsley']","""['potato', 'onion', 'celery', 'cider vinegar', 'bacon drippings', 'bacon', 'black pepper', 'parsley']"""
173,Coconut Pie,"['4 eggs', '2 c. milk', '1 tsp. vanilla', '1/4 c. melted butter', '1 3/4 c. sugar', '1/2 c. self-rising flour', '1 1/2 c. coconut']","""['egg', 'milk', 'vanilla', 'butter', 'sugar', 'flour', 'coconut']"""
174,Bullets,"['ground beef', 'flour', 'salt and pepper to taste']","""['ground beef', 'flour', 'pepper']"""
175,Mom'S Pancakes,"['1 c. sifted all-purpose flour', '2 tsp. baking powder', '1/2 tsp. salt', '2 Tbsp. sugar', '1 egg', '1 c. milk', '3 Tbsp. butter or margarine, melted']","""['flour', 'baking powder', 'salt', 'sugar', 'egg', 'milk', 'butter']"""
176,Pecan Kisses,"['1 egg white', '2/3 c. light brown sugar', '1 tsp. vanilla', '4 c. whole pecans']","""['egg white', 'brown sugar', 'vanilla', 'pecan']"""
177,Pizza Casserole,"['1 lb. ground beef', '14 oz. Pizza Quick sauce', '2 c. shredded Mozzarella cheese', '1 jar sliced mushrooms', '3/4 c. biscuit mix', '1 1/2 c. milk', '2 eggs']","""['ground beef', 'pizza quick sauce', 'shredded mozzarella cheese', 'sliced mushrooms', 'biscuit mix', 'milk', 'egg']"""
178,Chocolate Lover'S No-Bake Brownies,"['1 (12 oz.) pkg. (2 c.) semi-sweet chocolate chips', '1 (14 oz.) can sweetened condensed milk', '1 (8 1/2 oz.) pkg. chocolate wafers, finely crushed', '1 c. chopped nuts, divided']","""['chocolate', 'sweetened condensed milk', 'chocolate wafers', 'nuts']"""
179,Broccoli Casserole,"['1 pkg. frozen chopped broccoli', '1/2 c. mushroom soup', '1/2 c. mayonnaise', '1 beaten egg', '1 small onion, chopped', 'salt and pepper']","""['broccoli', 'mushroom soup', 'mayonnaise', 'egg', 'onion', 'salt', 'pepper']"""
180,Fruit Bars,"['1 1/4 c. all-purpose flour', '1 1/2 tsp. baking powder', '1/2 tsp. almond extract', '1 c. chopped nuts', '1/2 c. chopped maraschino cherries, drained', '1 c. sugar', '1 tsp. salt', '3 eggs', '1 c. cut up dates or whole raisins', '1 (6 oz.) pkg. semi-sweet chocolate chips']","""['flour', 'baking powder', 'almond extract', 'nuts', 'maraschino cherries', 'sugar', 'salt', 'egg', 'date', 'raisin', 'chocolate chip']"""
181,Chinese Hamburger,"['1 lb. hamburger', '2 Tbsp. oil', '1 onion, chopped', '1 celery rib, chopped', '1 c. cooked rice', '1 can cream of mushroom soup', '1 can cream of chicken soup', '1 1/2 c. warm water', '1/4 c. soy sauce', '1/4 tsp. pepper', '1 can chow mein noodles']","""['hamburger', 'oil', 'onion', 'celery', 'rice', 'cream of mushroom soup', 'cream of chicken soup', 'water', 'soy sauce', 'black pepper', 'chow mein noodles']"""
182,Almond Roco,"['1 lb. butter (not margarine)', '2 c. granulated sugar', '1/2 c. water', '1/2 c. chopped almonds', '3 chocolate candy bars', '1/4 c. chopped almonds or as desired (for topping)']","""['butter', 'sugar', 'water', 'almond', 'chocolate candy bar']"""
183,Hungarian-Stuffed Peppers,"['4 large peppers', '1 large can V-8', '1 onion, chopped', '1/2 tsp. garlic powder', '1 lb. ground beef', '1/2 c. rice', '1 egg', 'salt to taste']","""['pepper', 'v-8 juice', 'onion', 'garlic powder', 'ground beef', 'rice', 'egg', 'salt']"""
184,Lemon Pudding Pound Cake,"['5 eggs', '1 box yellow cake mix', '3/4 c. water', '1 small pkg. instant lemon pudding', '1/2 c. oil']","""['egg', 'yellow cake mix', 'water', 'lemon pudding', 'oil']"""
185,Peanut Butter Cup Cookies,"['1/2 c. butter or margarine', '1/2 c. peanut butter', '1/2 c. brown sugar', '1/2 c. white sugar', '1 egg', '1/2 tsp. vanilla', '1 1/4 c. sifted flour', '3/4 tsp. baking soda', '1/2 tsp. salt', '1 (10 oz.) bag miniature Reeses peanut butter cups']","""['butter', 'peanut butter', 'brown sugar', 'white sugar', 'egg', 'vanilla', 'flour', 'baking soda', 'salt', 'reeses peanut butter cup']"""
186,Egg Cheese Souffle,"['4 eggs', '2 c. milk', '1/2 tsp. mustard', '1/2 tsp. salt', '1/8 tsp. onion powder', 'dash of pepper', '2 c. croutons (cheese)', '1 c. grated Velveeta']","""['egg', 'milk', 'mustard', 'salt', 'onion powder', 'black pepper', 'crouton', 'vegatta']"""
187,Apple Bread,"['1/2 c. margarine or butter', '1 egg', '1 tsp. cinnamon', '1/2 tsp. ground cloves', '1/4 tsp. salt', '1/2 c. chopped pecans', '1 c. brown sugar', '1 3/4 c. flour', '1 tsp. baking soda', '1/2 tsp. ground nutmeg', '1 c. raisins', '1 1/4 c. applesauce']","""['margarine', 'egg', 'cinnamon', 'cloves', 'salt', 'pecan', 'brown sugar', 'flour', 'baking soda', 'nutmeg', 'raisin', 'applesauce']"""
188,Homemade Noodles,"['3 c. flour', '3 eggs', '1/2 c. water']","""['flour', 'egg', 'water']"""
189,Chocolate Fudge,"['1/2 c. margarine', '1 tall can evaporated milk', '4 c. sugar', '32 marshmallows', '4 sq. baking chocolate', '9 oz. bar milk chocolate', '12 oz. pkg. semi-sweet chocolate', '1 Tbsp. vanilla', '2 c. chopped nuts']","""['margarine', 'evaporated milk', 'sugar', 'marshmallow', 'baking chocolate', 'milk chocolate', 'semi-sweet chocolate', 'vanilla', 'nut']"""
190,Fruit Cake,"['3 eggs', '1 1/2 c. flour', '1/4 tsp. salt', '1 c. sugar', '1/2 tsp. baking powder', '1 (6 oz.) pkg. chocolate chips', '2 c. chopped nuts', '1 c. candied cherries, halved']","""['egg', 'flour', 'salt', 'sugar', 'baking powder', 'chocolate chip', 'nut', 'candied cherry']"""
191,Cranberry Scones,"['1/2 c. (1 stick) softened butter or margarine', '2 Tbsp. confectioners sugar', '1 tsp. grated orange peel']","""['butter', 'sugar', 'orange peel']"""
192,Brownie Pie,"['1/2 c. all-purpose flour', '1/4 c. cocoa', '1 c. sugar', '2 eggs', '1/2 c. margarine at room temperature', '1/8 tsp. salt', '1 tsp. vanilla', '1/2 c. chopped nuts', 'ice cream or whipped cream']","""['flour', 'cocoa', 'sugar', 'egg', 'margarine', 'salt', 'vanilla', 'nut', 'ice cream or whipped cream']"""
193,Cream Puff Dessert,"['1 c. water', '1 stick margarine', '1 c. flour', '4 eggs', '3 pkg. vanilla instant pudding', '4 c. milk', '1 (8 oz.) pkg. cream cheese', '12 oz. Cool Whip', 'chocolate syrup']","""['water', 'margarine', 'flour', 'egg', 'vanilla instant pudding', 'milk', 'cream cheese', 'cool whip', 'chocolate syrup']"""
194,Chantilly Low-Fat,"['1 c. nonfat plain yogurt', '1/2 c. heavy cream', '1 c. mandarin juice']","""['yogurt', 'cream', 'mandarin juice']"""
195,Golf Balls,"['1 c. cocoa', '1 c. butter, softened', '3 (1 lb.) boxes powdered sugar', '1 1/2 c. milk', '2 Tbsp. vanilla', '5 c. peanut butter']","""['cocoa', 'butter', 'powdered sugar', 'milk', 'vanilla', 'peanut butter']"""
196,Crispy Herb Bread,"['4 tsp. olive oil', '1/2 tsp. garlic powder', '1 loaf French bread, halved lengthwise', '1 tsp. dried thyme', '1/4 tsp. dried marjoram', '1/2 tsp. paprika', '3 Tbsp. grated Parmesan cheese']","""['olive oil', 'garlic powder', 'bread', 'thyme', 'marjoram', 'paprika', 'parmesan cheese']"""
197,Festive Fruit Salad,"['1 (20 oz.) can pineapple chunks, drained (reserve juice)', '1 (11 oz.) can mandarin oranges', '2 c. grapes', '2 c. miniature marshmallows', '1 c. sliced strawberries', '3 c. chopped apples, peeled if desired', '2 tsp. lemon juice', '2 tsp. orange juice', '1 Tbsp. cornstarch', '1/4 c. sugar', '2 bananas, sliced', '1/2 c. nuts (pecans)']","""['pineapple chunk', 'mandarin orange', 'grape', 'marshmallow', 'strawberry', 'apple', 'lemon juice', 'orange juice', 'cornstarch', 'sugar', 'banana', 'nut']"""
198,Fresh Strawberry Pie,"['1 qt. strawberries', '3/4 c. water', 'pinch of salt', '1 c. sugar', '3 Tbsp. cornstarch', 'dash of cinnamon', '1 Tbsp. butter']","""['strawberry', 'water', 'salt', 'sugar', 'cornstarch', 'cinnamon', 'butter']"""
199,Egg Custard,"['2 c. sugar', '5 eggs', '2 c. milk', '2 Tbsp. cornstarch', '2 1/2 tsp. vanilla', 'ground cinnamon', '1 pie shell']","""['sugar', 'egg', 'milk', 'cornstarch', 'vanilla', 'cinnamon', 'pie shell']"""
200,Chicken Giblet Gravy,"['4 to 5 c. chicken broth', '3 boiled eggs, chopped', '1 c. chopped chicken', 'salt and pepper to taste', '3 Tbsp. flour (self-rising)', '2 Tbsp. water']","""['chicken broth', 'egg', 'chicken', 'salt', 'pepper', 'flour', 'water']"""
201,Beef Brisket,"['4 lb. beef brisket', '1 c. catsup', '1 c. water', '1/2 onion, minced', '2 Tbsp. cider vinegar', '1 Tbsp. prepared horseradish', '1 Tbsp. prepared mustard', '1 tsp. salt', '1/2 tsp. pepper']","""['beef brisket', 'catsup', 'water', 'onion', 'cider vinegar', 'horseradish', 'mustard', 'salt', 'pepper']"""
202,Fruit Medley,"['3 Tbsp. tapioca', '1 c. water', '1/2 c. sugar', '1 1/2 c. water', '1 (6 oz.) can frozen orange juice, thawed', '1 (11 oz.) can Mandarin oranges, drained', '1 (16 oz.) can peach slices, cut in half and drained', '1 (16 oz.) bag frozen whole strawberries, thawed', '2 large bananas', 'lime sherbet']","""['tapioca', 'water', 'sugar', 'orange juice', 'mandarin oranges', 'peach slices', 'strawberries', 'banana', 'lime sherbet']"""
203,Nana'S Cornbread(For 9-Inch Iron Skillet Or 8 X 8-Inch Pan),"['1 c. corn meal', '1 c. flour', '1 to 2 Tbsp. sugar', '1/2 tsp. salt', '2 tsp. baking soda', '1 egg', '1 c. buttermilk', '1/4 c. bacon fat']","""['corn meal', 'flour', 'sugar', 'salt', 'baking soda', 'egg', 'buttermilk', 'bacon fat']"""
204,Marinated Pork Roast,"['1 (4 to 5 lb.) rolled pork roast', '1/2 c. sherry', '1 Tbsp. dry mustard', '1 tsp. thyme', '1/2 c. soy sauce', '2 minced garlic cloves', '1 tsp. ginger']","""['pork roast', 'sherry', 'dry mustard', 'thyme', 'soy sauce', 'garlic', 'ginger']"""
205,Dad'S Chili,"['2 lb. pork tenderloin, cubed', '1 Tbsp. oil', '1 Tbsp. minced garlic', '6 to 10 roasted and peeled Pueblo green chilies', '1 can stewed tomatoes', '4 c. water', '3 tsp. cornstarch', 'garlic salt to taste']","""['pork tenderloin', 'oil', 'garlic', 'pueblo green chili', 'stewed tomato', 'water', 'cornstarch', 'garlic salt']"""
206,Spoon Rolls,"['3/4 c. Crisco, melted', '1 egg', '1 pkg. dry yeast', '4 c. self-rising flour', '2 c. lukewarm water', '1/4 c. sugar']","""['crisco', 'egg', 'yeast', 'flour', 'water', 'sugar']"""
207,Chicago Crunchy Chocolate Chip Cookies,"['3 1/2 c. flour', '3 tsp. baking soda', '1 c. packed brown sugar', '1 Tbsp. milk', '2 Tbsp. vanilla', '1 c. cornflakes', '1 (12 oz.) pkg. chocolate pieces (semi-sweet)', '1 tsp. salt', '1/2 c. butter', '1 c. granulated sugar', '1 egg', '1 c. vegetable oil', '1 c. quick oats']","""['flour', 'baking soda', 'brown sugar', 'milk', 'vanilla', 'cornflakes', 'chocolate pieces', 'salt', 'butter', 'granulated sugar', 'egg', 'vegetable oil', 'oats']"""
208,Salad Dressing,"['2 Tbsp. lemon juice or wine vinegar', '1 Tbsp. honey', '1 clove garlic, diced', '1 Tbsp. rosemary', '2 Tbsp. water', '1 small diced onion', '1 Tbsp. flax seed', '1 tsp. parsley']","""['lemon juice', 'wine vinegar', 'honey', 'garlic', 'rosemary', 'water', 'onion', 'flax seed', 'parsley']"""
209,Leroy'S Heavenly Hash,"['No. 2 can fruit cocktail', '4 bananas, cut up', '1 small bag miniature marshmallows', '1 (8 oz.) pkg. pecan pieces', '1 pt. Cool Whip', '1 small can crushed pineapple']","""['fruit cocktail', 'banana', 'marshmallow', 'pecan', 'cool whip', 'crushed pineapple']"""
210,Banana Cream Pie,"['2 1/2 c. milk', '1/4 c. heavy cream', '2 egg yolks', '2/3 c. sugar', '4 Tbsp. cornstarch', '2 tsp. vanilla', '3 Tbsp. butter (room temperature)', '1 or 2 sliced bananas']","""['milk', 'heavy cream', 'egg yolk', 'sugar', 'cornstarch', 'vanilla', 'butter', 'banana']"""
211,Marinated Onions And Blue Cheese,"['1/2 c. olive oil', '2 tsp. lemon juice', '1 tsp. salt', 'dash of pepper', '1/2 tsp. sugar', '1/4 c. crumbled Blue cheese', '2 c. sliced red or yellow onions']","""['olive oil', 'lemon juice', 'salt', 'black pepper', 'sugar', 'blue cheese', 'onion']"""
212,Cheese Cake,"['1 1/2 c. graham cracker crumbs', '1/2 c. butter', '1/4 tsp. cinnamon', '1/4 c. sugar', '1 (16 oz.) pkg. cream cheese', '1/3 c. milk', '1/2 c. sugar', '3 eggs', '4 Tbsp. lemon juice']","""['graham cracker', 'butter', 'cinnamon', 'sugar', 'cream cheese', 'milk', 'egg', 'lemon juice']"""
213,Carrot Bread,"['1 c. sugar', '2/3 c. oil', '2 eggs', '1 1/2 c. flour', '1 tsp. baking soda', '1 tsp. baking powder', '1 tsp. cinnamon', '1 jar junior strained carrots (baby food)', '1/2 c. nuts']","""['sugar', 'oil', 'egg', 'flour', 'baking soda', 'baking powder', 'cinnamon', 'carrot', 'nut']"""
214,Mistletoe Punch,"['1 (6 oz.) can frozen lemonade concentrate, thawed', '1 (6 oz.) can frozen orange juice concentrate, thawed', '6 c. water', '1/2 ??? grenadine syrup', '1 qt. ginger ale, chilled', 'wafer thin lemon slices and maraschino cherries for garnish']","""['lemonade concentrate', 'orange juice concentrate', 'water', 'grenadine syrup', 'ginger ale', 'lemon slice', 'maraschino cherry']"""
215,Mixed Vegetable Casserole,"['1 can Veg-All, drained', '1/2 c. chopped onion', '1/2 c. water chestnuts, sliced', '1/2 c. grated cheese (Cheddar)', '1/3 c. plus 2 level Tbsp. mayonnaise', '1/2 roll Ritz crackers, crushed', '1/2 stick margarine']","""['veg-all', 'onion', 'water chestnut', 'cheddar cheese', 'mayonnaise', 'ritz cracker', 'margarine']"""
216,Cheeseburger Crescent Bake(1 Hour),"['1 lb. ground beef', '1 (8 oz.) pkg. crescent rolls', '1/8 c. chopped onion', '1 tsp. Worcestershire sauce', '1 tsp. lemon juice', '1/2 tsp. paprika', '1/4 tsp. garlic powder', '1/2 tsp. salt', '1/8 tsp. pepper', '2 c. shredded cheese', '1 beaten egg']","""['ground beef', 'crescent roll', 'onion', 'worcestershire sauce', 'lemon juice', 'paprika', 'garlic powder', 'salt', 'black pepper', 'shredded cheese', 'egg']"""
217,Do-Unkles Pumpkin Cake,"['2 c. sugar', '2 c. flour', '2 c. pumpkin', '1/2 tsp. salt', '2 tsp. cinnamon', '1 tsp. nutmeg', '2 tsp. soda', '1 c. oil', '4 eggs', '2 tsp. baking powder', '1 c. chopped walnuts']","""['sugar', 'flour', 'pumpkin', 'salt', 'cinnamon', 'nutmeg', 'baking soda', 'oil', 'egg', 'baking powder', 'walnut']"""
218,Colonial Cheese Biscuits,"['1 1/2 lb. sharp Cheddar cheese', '2 sticks butter, softened', '2 c. plus 2 Tbsp. flour', '1 1/2 tsp. salt', '1 1/2 tsp. paprika', 'confectioners sugar']","""['cheddar cheese', 'butter', 'flour', 'salt', 'paprika', 'confectioners sugar']"""
219,Simple Salsa Dip,"['1 jar (any size) salsa', '1 lb. American cheese (shredded)', '1 can refried beans']","""['salsa', 'cheese', 'beans']"""
220,Any Flavor Pan Dessert,"['1 c. flour', '1 stick butter or oleo', '1/2 c. chopped pecans (optional)', '1 Tbsp. sugar', '1 small container frozen whipped topping', '1 (8 oz.) pkg. cream cheese', '1 c. powdered sugar', '2 pkg. instant pudding', '3 c. milk']","""['flour', 'butter', 'pecan', 'sugar', 'whipped topping', 'cream cheese', 'powdered sugar', 'pudding', 'milk']"""
221,Mexican Casserole,"['Fritos or Doritos', '1 lb. ground beef', '1 onion', '1 can rotel', '1 can mushroom soup', '1 can cream of chicken soup', '1 (12 oz.) can pet milk (can use fat free)', 'Grated cheese']","""['frito', 'ground beef', 'onion', 'rotel', 'mushroom soup', 'cream of chicken soup', 'pet milk', 'cheese']"""
222,Apple Sour Cream Coffee Cake,"['2 c. flour', '1 tsp. baking soda', '1/2 tsp. salt', '1/2 c. butter or margarine', '1 c. sugar', '2 eggs', '1 tsp. vanilla', '1 c. sour cream', '1/2 c. sugar', '1 tsp. cinnamon', '1/2 c. chopped nuts', '1 1/4 c. apples, peeled and thinly sliced']","""['flour', 'baking soda', 'salt', 'butter', 'sugar', 'egg', 'vanilla', 'sour cream', 'cinnamon', 'nut', 'apple']"""
223,Snickerdoodles,"['1 1/2 c. sugar', '1/2 c. margarine', '1/2 c. vegetable shortening', '2 eggs', '2 tsp. cinnamon', '2 3/4 c. flour', '2 tsp. cream of tartar', '1 tsp. baking soda', '1/4 tsp. salt', '2 tsp. sugar']","""['sugar', 'margarine', 'vegetable shortening', 'egg', 'cinnamon', 'flour', 'baking soda', 'salt']"""
224,Spaghetti Salad,"['1 lb. spaghetti', '3 cucumbers, diced', '4 tomatoes, diced', '2 stalks celery, diced', '1 green pepper, diced', '2 onions, diced', '1 small bottle Wish-Bone Italian salad dressing', '1/2 bottle Salad Supreme']","""['spaghetti', 'cucumber', 'tomato', 'celery', 'green pepper', 'onion', 'italian salad dressing', 'salad supreme']"""
225,Spanish Meat Balls,"['1 lb. ground meat', '2 slices cubed bread', '1 onion, grated', '1/2 c. rice (uncooked)', '1 tsp. chili powder', '1/2 tsp. allspice', '2 eggs', '1 tsp. salt', '1 green pepper (optional)', '2 cans tomato soup', '2 1/2 soup cans water', '1 tsp. chili powder']","""['ground meat', 'bread', 'onion', 'rice', 'chili powder', 'allspice', 'egg', 'salt', 'green pepper', 'tomato soup', 'water']"""
226,Broccoli Cornbread,"['1 box Jiffy corn muffin mix', '1 1/2 sticks margarine, melted', '2 whole eggs', '2 egg whites', '1 c. sour cream', '1 (10 oz.) pkg. frozen chopped broccoli, thawed but not drained', '1 medium onion, chopped']","""['corn muffin mix', 'margarine', 'egg', 'egg white', 'sour cream', 'broccoli', 'onion']"""
227,Fried Onion Rings,"['2 large sweet onions', '1 egg', '2/3 c. water', '1 Tbsp. vegetable oil', '1 tsp. lemon juice', '1 c. all-purpose flour', '1 1/2 tsp. baking powder', '1 to 1 1/4 tsp. salt', '1/8 to 1/4 cayenne pepper', 'oil (for deep-fat frying)']","""['onion', 'egg', 'water', 'vegetable oil', 'lemon juice', 'flour', 'baking powder', 'salt', 'cayenne pepper', 'oil']"""
228,Mayonnaise Rolls,"['1 c. White Lily Self Rising Flour', '1/3 c. mayonnaise', '1/2 c. sweet milk', 'pinch salt']","""['flour', 'mayonnaise', 'milk', 'salt']"""
229,Cheeseburger Loaf,"['1/2 c. evaporated milk', '1 egg', '1 c. cracker crumbs', '1 1/2 lb. ground chuck', '4 Tbsp. finely chopped onion', '1 1/2 tsp. salt or to taste', '1 tsp. dry mustard', '1 Tbsp. ketchup', '1 c. grated American cheese']","""['evaporated milk', 'egg', 'cracker crumb', 'ground chuck', 'onion', 'salt', 'dry mustard', 'ketchup', 'cheese']"""
230,One Bowl Chocolate Fudge(Microwave),"['1 pkg. (8 oz.) semi-sweet chocolate', '2/3 c. sweetened condensed milk', '1 tsp. vanilla', '1/8 tsp. salt', '1 c. chopped nuts']","""['chocolate', 'sweetened condensed milk', 'vanilla', 'salt', 'nuts']"""
231,Ranch Style Baked Beans Casserole,"['2 Tbsp. margarine', '1 lb. ground beef', '1 pkg. onion soup mix', '1/2 c. water', '1 c. catsup', '2 Tbsp. prepared mustard', '2 tsp. vinegar', '2 (1 lb.) cans pork and beans in tomato sauce', '1 (1 lb.) can kidney beans, drained']","""['margarine', 'ground beef', 'onion soup mix', 'water', 'catsup', 'mustard', 'vinegar', 'pork and beans', 'kidney beans']"""
232,Etta'S Hungarian Coffee Cake,"['1 c. brown sugar', '1 c. flour', '1/3 c. shortening', 'pinch of salt', '1 egg, beaten', '1 tsp. baking soda', '1/2 tsp. baking powder', '1/2 c. sour milk (add 1 Tbsp. vinegar or lemon juice to sour 1 c. milk)']","""['brown sugar', 'flour', 'shortening', 'salt', 'egg', 'baking soda', 'baking powder', 'sour milk']"""
233,Beer Biscuits,"['2 c. biscuit mix', '1 1/2 Tbsp. sugar', '6 oz. warm beer']","""['biscuit mix', 'sugar', 'beer']"""
234,Baked Spaghetti,"['1 c. chopped onion', '1 c. chopped green pepper', '1 Tbsp. butter', '1 (28 oz.) can tomatoes with liquid, cut up', '1 (4 oz.) can mushroom stems and pieces, drained', '1 (2 1/4 oz.) can sliced ripe olives, drained', '2 tsp. dried oregano', '1 lb. ground beef, browned and drained (optional)', '12 oz. spaghetti, cooked and drained', '2 c. (8 oz.) shredded Cheddar cheese', '1 (10 3/4 oz.) can condensed cream of mushroom soup (undiluted)', '1/4 c. water', '1/4 c. grated Parmesan cheese']","""['onion', 'green pepper', 'butter', 'tomato', 'mushroom', 'olive', 'oregano', 'ground beef', 'spaghetti', 'cheddar cheese', 'cream of mushroom soup', 'water', 'parmesan cheese']"""
235,Easy Apple Dumplings,"['1 can biscuits (10 count)', '5 cooking apples', '1/2 c. granulated sugar', '1/2 c. brown sugar', '1 1/2 c. water', '1 tsp. apple pie spice', '1 tsp. vanilla', '1 stick butter or margarine']","""['biscuit', 'apple', 'sugar', 'brown sugar', 'water', 'apple pie spice', 'vanilla', 'butter']"""
236,Twinkie Dessert,"['14 Twinkies', '1 large box strawberry jello', '2 c. hot water', '1 10 oz. frozen strawberries or 2 c. fresh', '1 large box vanilla instant pudding', '1 large container Cool Whip']","""['twinky', 'strawberry jello', 'water', 'frozen strawberries', 'fresh strawberries', 'vanilla pudding', 'cool whip']"""
237,Gooey Butter Cake,"['1 box yellow or chocolate cake mix', '3 eggs', '1 stick butter', '1 (8 oz.) cream cheese', '1 box powdered sugar', '1 tsp. vanilla']","""['yellow cake mix', 'egg', 'butter', 'cream cheese', 'powdered sugar', 'vanilla']"""
238,Corn Pudding,"['1 (1 lb.) can cream-style corn', '1 Tbsp. butter', '1 Tbsp. flour', '4 eggs, well beaten', '3 Tbsp. sugar', '1 c. scalded milk', '1 tsp. salt', '1/8 tsp. pepper']","""['cream-style corn', 'butter', 'flour', 'egg', 'sugar', 'milk', 'salt', 'pepper']"""
239,Honey Cake,"['3 eggs', '??? c. honey', '1/2 c. sugar', '1 c. strong black coffee', '2 tsp. baking powder', '3 Tbsp. soft margarine', '1 tsp. baking soda', '4 c. flour', '1 tsp. cinnamon']","""['egg', 'honey', 'sugar', 'coffee', 'baking powder', 'margarine', 'baking soda', 'flour', 'cinnamon']"""
