id,title,ingredients,directions,link,source,ner
551271,Tortilla Casserole,"{1 1/2 lb. ground beef,""1 lb. American cheese, grated"",""1 medium onion, chopped"",1 small can taco sauce,""1 small can green chilies, chopped"",1 small can Pet milk,1 can cream of chicken soup,1 can cream of mushroom soup,1 pkg. soft tortillas}","{Brown,meat,in,""large pan, drain."",Add,all,""remaining ingredients except tortillas,"",mixtwell.,""Quarterttortillas, use two 8 x 12-inch pans."",Pour,""2 cups mixture in pans, layer tortillas and pour rest oftmixture over top."",Bake 30 minutes at 350u00b0.}",www.cookbooks.com/Recipe-Details.aspx?id=510612,Gathered,"{ground beef,American cheese,onion,taco sauce,green chilies,Pet milk,cream of chicken soup,cream of mushroom soup,soft tortillas}"
551272,Cracklin Bread,"{2 c. cornmeal,1 c. cracklins (fried pork skins),1 tsp. salt,hot water}","{Enough hot water to make into dough thick enough to shape into small loaves.,Break cracklins into small pieces.,Bake in 350u00b0 oven for 45 minutes to 1 hour.}",www.cookbooks.com/Recipe-Details.aspx?id=199346,Gathered,"{cornmeal,cracklins,salt,water}"
551273,Candy Bar Cookies,"{3/4 c. butter,""3/4 c. powdered sugar, sifted"",2 Tbsp. evaporated milk,1 tsp. vanilla,1/4 tsp. salt,2 c. flour*}","{Cream butter; gradually add 3/4 cup sifted powdered sugar. Cream well.,""Add 2 tablespoons evaporated milk, vanilla and salt. Blend in flour."",""If desired, chill."",Roll out half at a time on floured surface to 11 x 9-inch; trim sides.,Cut into 1 1/2 inch squares or 3 x 1 1/2 inch rectangles.,Place on ungreased cookie sheet.,""Bake at 325u00b0 for 12 to 16 minutes. Top each with 1/2 teaspoon filling, then 1/2 teaspoon icing."",Decorate with pecans.}",www.cookbooks.com/Recipe-Details.aspx?id=609159,Gathered,"{butter,powdered sugar,milk,vanilla,salt,flour}"
551274,Hot Tuna Salad,"{""2 (7 oz.) cans tuna, drained"",2 c. chopped celery,""2 c. croutons, divided"",1 c. mayonnaise,1/2 c. whole almonds or cashews,1 Tbsp. finely chopped onion,1 Tbsp. lemon juice,1/2 tsp. salt,1/2 c. shredded Cheddar or Swiss cheese}","{""In a 1 1/2-quart casserole dish, mix together tuna, celery, 1 cup croutons, mayonnaise, almonds, onion, lemon juice and salt. Cover."",""Microwave on Medium-high 9 to 11 minutes, stirring every 5 minutes or until hot."",Sprinkle with cheese and remaining 1 cup croutons.,Microwave on Medium-high 1 to 2 minutes or until cheese melts.}",www.cookbooks.com/Recipe-Details.aspx?id=924088,Gathered,"{tuna,celery,croutons,mayonnaise,almonds,onion,lemon juice,salt,Swiss cheese}"
551275,Shish Kabobs,"{1 c. salad oil,1/2 c. vinegar,""1/2 c. onion, chopped"",2 tsp. salt,2 tsp. coarsely ground pepper,1 1/2 Tbsp. Worcestershire sauce,""3 lb. sirloin tip roast, cut in 1 1/2-inch cubes"",""firm ripe tomatoes, quartered"",""onions, quartered"",""green peppers, quartered"",canned small whole potatoes,whole mushrooms}","{""Combine oil, vinegar, chopped onion, salt, pepper and Worcestershire sauce."",Pour over cubed meat.,""Stir to coat all pieces; marinate and refrigerate overnight, or leave at room temperature for 3 to 4 hours."",Alternate beef cubes and vegetables on skewers.,""Cook over charcoal, basting with marinade."",Serve on rice.,Yields 6 to 8 servings.}",www.cookbooks.com/Recipe-Details.aspx?id=848850,Gathered,"{salad oil,vinegar,onion,salt,ground pepper,Worcestershire sauce,firm ripe tomatoes,onions,green peppers,potatoes,mushrooms}"
551276,Baked Potato Slices,"{4 medium potatoes,1 can cream of mushroom soup,1/2 tsp. paprika,1/2 tsp. pepper,1 c. shredded Cheddar cheese}","{""Cut potatoes into thin slices, about 4 cups."",""Mix soup, paprika and pepper."",Layer potatoes overlapping in rows in a greased 2-quart oblong baking dish.,Sprinkle with cheese.,Pour soup mixture over all.,Cover with foil.,Bake at 400u00b0 for 45 minutes.,""Uncover, bake 10 minutes more."",Very good with barbecue.}",www.cookbooks.com/Recipe-Details.aspx?id=241904,Gathered,"{potatoes,cream of mushroom soup,paprika,pepper,Cheddar cheese}"
551277,Good Ole Coleslaw,"{""2 lb. cabbage, preferably red and white"",""1 large carrot, grated"",""1 small onion, minced"",3/4 c. mayonnaise,1/4 c. sour cream,1 Tbsp. vinegar,2 tsp. Dijon mustard,large pinch of sugar,salt and pepper,2 Tbsp. celery or caraway seed}","{Shred the cabbage.,Mix with carrot and onion.,""Whisk together mayonnaise, sour cream, vinegar, mustard, sugar, salt and pepper. Add to the vegetables and mix well."",Let sit in the refrigerator at least 1 hour.,""Just before serving, add caraway seed."",Makes 4 to 6 servings.}",www.cookbooks.com/Recipe-Details.aspx?id=262872,Gathered,"{cabbage,carrot,onion,mayonnaise,sour cream,vinegar,mustard,sugar,salt,celery}"
551278,Christmas Cherries,"{1 c. butter,1/2 c. sugar,""2 eggs, separated"",1 tsp. vanilla,2 Tbsp. grated orange rind,1 Tbsp. grated lemon rind,2 Tbsp. lemon juice,2 c. flour,1 c. chopped walnuts,""candied cherries, cut into pieces""}","{""Cream butter; add sugar, creaming well."",""Add beaten egg yolks. Stir in flavoring, rinds, lemon juice and flour."",Chill dough for 1 hour.,""While dough is chilling, chop walnuts and cut up candied cherries."",Beat egg whites with a fork until foamy.,Shape chilled dough into tiny balls.,""Dip top of dough in beaten egg white, then in chopped walnuts."",Press a section of cherry into the middle. Bake in a preheated 350u00b0 oven for about 20 minutes or until slightly browned.}",www.cookbooks.com/Recipe-Details.aspx?id=345701,Gathered,"{butter,sugar,eggs,vanilla,orange rind,lemon rind,lemon juice,flour,walnuts,candied cherries}"
551279,Granny Ocie'S Peanut Brittle,"{2 c. sugar,2/3 c. syrup,1/2 c. water,2 c. red peanuts,1 1/8 tsp. soda,1 tsp. vanilla,pinch of salt}","{""Cook sugar, syrup, water, peanuts and salt on low heat until peanuts pop."",Take off heat and stir in soda.,Add vanilla. Spread into buttered cookie sheet.,Cool.,Break into pieces.}",www.cookbooks.com/Recipe-Details.aspx?id=886794,Gathered,"{sugar,syrup,water,red peanuts,soda,vanilla,salt}"
551280,Buttermilk Biscuits,"{2 c. sifted flour,1/2 tsp. baking soda,2 tsp. baking powder,1 tsp. salt,1/4 c. cold shortening,1 c. cold buttermilk or sour milk}","{""Sift flour, baking powder, salt and baking soda together and cut in shortening with 2 knives or a pastry blender."",Add cold buttermilk or sour milk.,""Mix quickly, knead for a few seconds on lightly floured board."",Pat out to 1/2-inch thickness and cut with biscuit cutter.,""Place in greased pan close together for crust on top and bottom only, far apart if crust is desired on sides also. Bake at once in very hot oven (450u00b0) for 12 minutes."",Makes 12 biscuits.}",www.cookbooks.com/Recipe-Details.aspx?id=1075715,Gathered,"{flour,baking soda,baking powder,salt,cold shortening,cold buttermilk}"
551281,Banana Drop Cookies,"{2 1/4 c. sifted flour,1 c. sugar,2/3 c. shortening,2 eggs,1 tsp. vanilla,2 tsp. baking powder,1/4 tsp. baking soda,3/4 tsp. salt,1 c. mashed bananas,1/4 tsp. cinnamon and 1 Tbsp. sugar (topping)}","{Sift all dry ingredients.,Cut in shortening.,""Add eggs, bananas and vanilla."",Beat until blended.,Drop by teaspoonful 1 1/2 inches apart on ungreased cookie sheet.,Sprinkle with cinnamon-sugar mix.,Bake at 400u00b0 for 12 minutes or until golden brown.}",www.cookbooks.com/Recipe-Details.aspx?id=901248,Gathered,"{flour,sugar,shortening,eggs,vanilla,baking powder,baking soda,salt,bananas,cinnamon}"
551282,Dori'S Meat Loaf,"{1 egg,1/2 lb. sausage (any kind you like),1 1/2 lb. hamburger,""onion, chopped"",garlic,pepper,3/4 c. Italian bread crumbs,tomato sauce or tomato soup,""bell pepper, chopped""}",{Mix all ingredients; shape into loaf. Put into loaf pan and bake. Add potatoes and carrots around loaf. Bake at 350u00b0 for 1 1/2 hours.},www.cookbooks.com/Recipe-Details.aspx?id=1060205,Gathered,"{egg,sausage,hamburger,onion,garlic,pepper,Italian bread crumbs,tomato sauce,bell pepper}"
551283,Beef & Potato Stew,"{1 beef bouillon,4 Roma tomatoes,1 green pepper,""1/2 purple onion, sliced"",1 pkg. stew meat beef chunks,""4 whole potatoes, cut in pieces""}","{""Saute onions, green pepper and tomatoes in stewer. Then add your stew meat, bouillon cube and potatoes. Fill stewer with enough water to cover potatoes. Add any seasonings you like. Cover and let simmer.""}",www.cookbooks.com/Recipe-Details.aspx?id=35549,Gathered,"{beef bouillon,tomatoes,green pepper,purple onion,stew meat beef chunks,potatoes}"
551284,Crawfish Etouffee,"{1 stick butter,1 onion,1 bell pepper,1 c. green onions,cream of celery soup,1/2 can tomato sauce,1 lb. crawfish tails}","{""Melt butter; add onions, bell pepper and green onions."",Saute until soft. Add cream of celery soup and tomato sauce; stir. Simmer about 5 to 10 minutes. Add crawfish and simmer another 15 minutes. Serve over rice.}",www.cookbooks.com/Recipe-Details.aspx?id=994536,Gathered,"{butter,onion,bell pepper,green onions,cream of celery soup,tomato sauce,crawfish tails}"
551285,Egg Custard Pie,"{1 c. canned evaporated milk,3/4 c. whole milk,2 Tbsp. margarine,1 1/2 tsp. vanilla,3 eggs,5 Tbsp. self-rising flour,1 1/2 c. sugar,dash of nutmeg}","{Mix all the ingredients in a blender until well blended.,Pour into a well-greased glass pie dish.,Bake at 350u00b0 for 30 minutes. This recipe makes its own pie shell.}",www.cookbooks.com/Recipe-Details.aspx?id=998769,Gathered,"{milk,milk,margarine,vanilla,eggs,flour,sugar,nutmeg}"
551286,Puffed Baked Fish,"{1 lb. (more or less) white fish,1/4 c. mayonnaise,1/4 c. shredded cheese (American or cheddar),1 egg white (beaten until stiff)}","{Heat oven to 400u00b0.,Arrange fish in buttered baking dish.,""Mix mayonnaise, cheese and egg white."",Spread over fish and bake 15-20 minutes.,Easy.}",www.cookbooks.com/Recipe-Details.aspx?id=68091,Gathered,"{white fish,mayonnaise,shredded cheese,egg}"
551287,Cabbage Casserole,"{""1 head cabbage, chopped"",1 can cream of celery soup (add 1 can milk),1 stick butter,1/4 c. mayonnaise,grated Cheddar cheese,crushed corn flakes}","{""Mix butter, soup, milk and mayonnaise together."",Bring to a boil.,""Layer chopped cabbage, soup mixture, corn flakes and cheese."",""Repeat layers, ending with cheese."",""Put in microwave for 10 minutes, then in a 350u00b0 oven for 30 minutes.""}",www.cookbooks.com/Recipe-Details.aspx?id=235202,Gathered,"{cabbage,cream of celery soup,butter,mayonnaise,Cheddar cheese,corn flakes}"
551288,Marinated Carrots,"{""5 c. carrots (2 lb.), sliced, cooked, drained and cooled"",""1 large onion, sliced and separated (raw)"",""1 large green pepper, sliced and cut smaller"",1 (10 oz.) can tomato soup,1/2 c. salad oil,1 c. vinegar,1 tsp. salt,1 tsp. Worcestershire sauce,1 tsp. prepared mustard,1 tsp. black pepper,1 Tbsp. bell pepper,1 c. sugar}","{Mix the last 9 ingredients together.,Pour over vegetables. Cover tightly.,""Let stand 12 hours, but should be stirred several times during this period for proper blending.""}",www.cookbooks.com/Recipe-Details.aspx?id=1037655,Gathered,"{carrots,onion,green pepper,tomato soup,salad oil,vinegar,salt,Worcestershire sauce,mustard,black pepper,bell pepper,sugar}"
551289,Breakfast Casserole,"{10 slices white bread,1 lb. ground sausage,5 eggs,3 c. milk,3/4 tsp. dry mustard,1/2 tsp. salt,1/4 tsp. whole pepper,2 c. shredded cheese,2 c. shredded milk cheese}","{""Remove crust from bread. Cut into squares. Brown sausage and drain. Arrange half of bread in bottom of lightly greased 13 x 8 1/2 casserole dish. Top with cheese, sausage and remaining bread. Dissolve mustard in a little of milk. Beat eggs. Add milk, mustard, salt and pepper and pour mixture over layers. Cover and refrigerate overnight. Take out of refrigerator. Bake, uncovered, in a 350u00b0 oven for 1 hour or until firm. Serve with fresh fruit and sweet muffins.""}",www.cookbooks.com/Recipe-Details.aspx?id=115403,Gathered,"{white bread,ground sausage,eggs,milk,dry mustard,salt,whole pepper,shredded cheese,milk cheese}"
551290,Yogurt Gelatin Delight(Serves 6),"{1 (3 oz.) pkg. sugar-free fruit flavored gelatin,8 oz. low-fat yogurt of same flavor}","{Prepare gelatin according to package directions.,Cover and refrigerate just until it begins to set.,Add yogurt and stir to mix thoroughly.,Pour into a mold or dish.}",www.cookbooks.com/Recipe-Details.aspx?id=224105,Gathered,"{sugar-free fruit flavored gelatin,low-fat yogurt of same flavor}"
551291,Creamy Broccoli Soup,"{1/4 c. chopped onion,1 Tbsp. margarine,2 c. milk,""1 (8 oz.) pkg. cream cheese, cubed"",""3/4 lb. Velveeta cheese, cubed"",""1 (10 oz.) pkg. frozen chopped broccoli, cooked and drained"",1/4 tsp. ground nutmeg,dash of pepper}","{""In a 2-quart saucepan, cook onion in margarine until tender. Add milk and cream cheese."",Stir over medium heat until cream cheese is melted.,Add remaining ingredients.,""Heat thoroughly, stirring occasionally."",Yields 5 (1 cup) servings.}",www.cookbooks.com/Recipe-Details.aspx?id=823845,Gathered,"{onion,margarine,milk,cream cheese,Velveeta cheese,broccoli,ground nutmeg,pepper}"
551294,Hot Fudge Sauce,"{1 c. milk,1/2 c. confectioners sugar,3 Tbsp. cocoa,dash of salt,pat of butter,1/2 tsp. vanilla}","{""Cook milk, sugar, cocoa and salt until sauce comes to a bubble and thickens slightly."",Add butter and vanilla.,Yummy over vanilla ice cream.}",www.cookbooks.com/Recipe-Details.aspx?id=479968,Gathered,"{milk,confectioners sugar,cocoa,salt,butter,vanilla}"
557269,Pecan Pie,"{2 eggs,1/2 c. brown sugar,1 c. white Karo,2 Tbsp. flour,1 tsp. vanilla flavoring,""1 c. pecans, chopped fine"",2 tsp. butter}",{Bake at 350u00b0 for 45 to 50 minutes.},www.cookbooks.com/Recipe-Details.aspx?id=652241,Gathered,"{eggs,brown sugar,white Karo,flour,vanilla flavoring,pecans,butter}"
551295,Impossible Green Bean Pie,"{8 oz. frozen French-style green beans,1 (4 oz.) can mushroom stems and pieces,1/2 c. chopped onion,1 tsp. salt,1 c. shredded Cheddar cheese (about 4 oz.),1 1/2 c. milk,3/4 c. Bisquick,3 eggs,1/4 tsp. pepper}","{Cook,beans,as,directed,on package.,Drain.,Lightly grease pie,""plate,"",10,x 1 1/2-inches.,""Mix beans, mushrooms, onion"",and cheese,in,pie plate.,""Beat remaining ingredients until smooth, 15 seconds in blender on high or one minute with hand beater. Pour"",into pie plate.,""Bake at 400u00b0 for 30 to 35 minutes, until golden brown and knife inserted in center comes out clean."",Let stand,5 minutes before cutting.,Serves 6 to 8.}",www.cookbooks.com/Recipe-Details.aspx?id=1073696,Gathered,"{green beans,mushroom stems,onion,salt,Cheddar cheese,milk,Bisquick,eggs,pepper}"
551297,Cream Of Broccoli Soup,"{2 heaping tsp. chicken base,""1/2 med. onion, diced"",""1 stalk celery, chopped"",""1 carrot, grated"",""1 bunch fresh broccoli, cut up (cauliflower can be used as well)"",1-12 oz. can evaporated milk,5 c. water,butter,velveeta cheese (amount as preferred),1/4 c. flour (approximately)}","{""Add chicken base, celery, onion and carrots to 4 cups water. Bring to boil and simmer for 5 minutes."",Add 1 cup water and broccoli and simmer another 5 minutes.}",www.cookbooks.com/Recipe-Details.aspx?id=51886,Gathered,"{chicken base,onion,celery,carrot,fresh broccoli,milk,water,butter,velveeta cheese,flour}"
551298,Chinese Fried Rice(6 Servings),"{3 c. leftover rice,4 minced scallions,1/2 tsp. salt,1/2 c. diced cooked chicken (optional),3 eggs,1 1/2 Tbsp. soy sauce,1/4 c. minced cilantro leaves,1/4 c. vegetable oil}","{Heat oil in heavy skillet; toss in rice and heat until hot and golden.,""Add scallions, salt and chicken; mix well."",Push rice to sides of pan and break 3 eggs into hollow.,""Stir until lightly scrambled, then stir together with rice mixture."",Add soy sauce and cilantro; stir.,Serve.}",www.cookbooks.com/Recipe-Details.aspx?id=670734,Gathered,"{leftover rice,scallions,salt,chicken,eggs,soy sauce,cilantro,vegetable oil}"
551299,Company Chicken,"{deboned chicken breasts (without skin),lemon juice,corn flake crumbs,""whipping cream, unwhipped""}","{Sprinkle lemon juice over each piece of chicken.,Roll or shake chicken in corn flake crumbs.,Place in buttered casserole dish. Pour liquid whipping cream over chicken (almost covering it).,Bake at 350u00b0 for about 1 hour.}",www.cookbooks.com/Recipe-Details.aspx?id=462959,Gathered,"{chicken breasts,lemon juice,corn flake crumbs,whipping cream}"
551300,Buffalo Chip Cookies,"{2 c. crushed corn flakes,2 c. chocolate chips,2 c. chopped nuts,2 c. oatmeal,""1 lb. butter, melted"",4 eggs,2 c. white sugar,2 c. brown sugar,4 c. self-rising flour,1 Tbsp. vanilla}","{""Mix together butter, sugar and eggs first, then add vanilla. Then mix in flour well."",Then add rest of ingredients.,Mix well.}",www.cookbooks.com/Recipe-Details.aspx?id=542897,Gathered,"{corn flakes,chocolate chips,nuts,oatmeal,butter,eggs,white sugar,brown sugar,flour,vanilla}"
551301,Cream Puffs,"{1 1/4 c. water,2/3 c. butter or margarine,1 1/4 c. all-purpose flour,5 eggs}","{Heat oven to 400u00b0.,""Heat water and margarine to a rolling boil in 2-quart saucepan. Stir in flour. Stir vigorously over low heat until mixture forms a ball, about 1 minute."",""Remove from heat. Add eggs; beat until smooth. Drop dough by slightly rounded teaspoonfuls onto ungreased baking sheet. Bake until puffed and golden, 25 to 30 minutes. Cool thoroughly. Slice open and fill with Cream Puff Filling with powdered sugar.""}",www.cookbooks.com/Recipe-Details.aspx?id=815800,Gathered,"{water,butter,flour,eggs}"
551302,Green Bean Casserole,"{""2 c. French-cut green beans, drained"",1 can cream of mushroom soup,1/2 can French fried onions}","{Mix beans and soup.,Place in casserole dish.,Bake at 350u00b0 for 20 minutes or until bubbly.,Sprinkle onions over top.,Bake 5 more minutes.}",www.cookbooks.com/Recipe-Details.aspx?id=1054654,Gathered,"{green beans,cream of mushroom soup,onions}"
551303,Settlers' Beans,"{1 lb. Hamburg,8 slices Bacon,1 Onion,1/3 c. White Sugar,1/3 c. Brown Sugar,1/2 tsp. Pepper,1/2 tsp. Chili Powder,1/4 c. Barbecue Sauce,1/4 c. Ketchup,1 tsp. Mustard,2 tsp. Molasses,1 large can Pork & Beans,1 lb. can Butter Beans,1 lb. can Red Kidney Beans}","{Brown Hamburg.,""Fry Bacon, drain and crumble."",""Cut up Onion. When adding Beans, drain the Butter Beans and Kidney Beans."",Mix all together in a large bowl.,Bake in oven until bubbly or heat in pot on top of stove until bubbly.,Stir from time to time and be thankful to God all the time.,Serves 8 happy people.}",www.cookbooks.com/Recipe-Details.aspx?id=116336,Gathered,"{Hamburg,Bacon,Onion,White Sugar,Brown Sugar,Pepper,Chili Powder,Barbecue Sauce,Ketchup,Mustard,Molasses,Beans,Butter,Beans}"
551304,Strawberry Frozen Dessert,"{1 (8 or 9 oz.) carton Cool Whip,1 (14 oz.) can sweetened condensed milk,1 can strawberry pie filling,1 (13 oz.) can crushed pineapple (do not drain)}","{Combine,""milk, pie filling and pineapple."",Fold in Cool Whip. Put,in,9-inch pan and freeze.,Take out one half hour before serving.}",www.cookbooks.com/Recipe-Details.aspx?id=488749,Gathered,"{condensed milk,strawberry pie filling,pineapple}"
551305,Cauliflower Salad,"{1 head fresh cauliflower,1/2 red onion,Bac*Os or bacon bits,1/2 c. sugar,1 c. mayonnaise,salt and pepper}","{Wash cauliflower well.,Cut into small pieces.,Cut onion into bite size pieces.,Mix in bacon pieces and salt and pepper.,""In a separate bowl, mix sugar with mayonnaise, then pour over cauliflower mixture."",Do not stir.,Let set overnight in refrigerator. Take out and toss gently.}",www.cookbooks.com/Recipe-Details.aspx?id=816978,Gathered,"{cauliflower,red onion,Bac*Os,sugar,mayonnaise,salt}"
551360,Kool-Aid Punch,"{2 pkg. cherry Kool-Aid,1 1/2 qt. water,2 c. sugar,1 large can pineapple juice,1 small can pineapple rings (optional),1 bottle cherries (optional),1 large bottle ginger ale}","{""Mix above ingredients, except ginger ale."",""Just before serving, add the ginger ale."",Makes 1 gallon.}",www.cookbooks.com/Recipe-Details.aspx?id=1061783,Gathered,"{cherry,water,sugar,pineapple juice,pineapple,cherries,ginger ale}"
551306,Marble Squares,"{1 (8 oz.) cream cheese,2 1/3 c. sugar,3/4 c. water,1 1/2 oz. sq. unsweetened chocolate,2 c. flour,1 tsp. baking soda,1 (6 oz.) pkg. semi-sweet bits chocolate,3 eggs,1 1/2 c. margarine,1/2 c. sour cream,1/2 tsp. salt}","{Combine softened cream cheese and 1/3 cup sugar.,Mix until blended.,Blend in 1 egg.,""In saucepan, combine water, margarine and chocolate; bring to a boil."",Remove from heat.,Add combined remaining sugar and flour; mix well.,""Blend in remaining eggs, sour cream, soda and salt."",Pour into greased and floured 15 1/2 x 10 1/2 jelly roll pan.,Spoon cream cheese mixture over chocolate batter.,Cut through batter with knife several times for marble effect; sprinkle with chocolate bits.,Bake at 375u00b0 for 25 to 30 minutes.,Cool; cut into squares.}",www.cookbooks.com/Recipe-Details.aspx?id=31755,Gathered,"{cream cheese,sugar,water,unsweetened chocolate,flour,baking soda,semi-sweet bits chocolate,eggs,margarine,sour cream,salt}"
551307,Classic Potato Salad,"{6 medium potatoes (2 lb.),1 1/4 c. mayonnaise,1 Tbsp. mustard,1/2 tsp. salt,1/4 tsp. pepper,1 c. thinly sliced celery,1/2 c. chopped onion,1/2 c. chopped sweet pickles/relish,""6 hard-boiled eggs, coarsely chopped"",lettuce leaves (optional),paprika (optional)}","{Boil potatoes 20 to 25 minutes or until tender.,Drain well and cool.,Peel and cube potatoes.}",www.cookbooks.com/Recipe-Details.aspx?id=602810,Gathered,"{potatoes,mayonnaise,mustard,salt,pepper,celery,onion,sweet pickles,eggs,paprika}"
551308,Bridesmaid'S Punch,"{1/2 gal. orange juice,large can pineapple juice,1 bottle ginger ale,orange/pineapple sherbet (1/2 gal.)}","{Mix juices; add ginger ale.,""While still bubbly, add sherbet in large dollops."",Remove from freezer to let soften slightly!,Serves 20 to 25.}",www.cookbooks.com/Recipe-Details.aspx?id=379408,Gathered,"{orange juice,pineapple juice,ginger ale,orange/pineapple}"
551309,Spiced Tea,"{1/2 rounded c. instant tea,1 c. Tang,1 1/2 c. sugar,1 tsp. cinnamon,1 tsp. ground cloves}","{Mix all ingredients and store in airtight container.,Use about 2 heaping teaspoons for a cup of tea.}",www.cookbooks.com/Recipe-Details.aspx?id=508966,Gathered,"{sugar,cinnamon,ground cloves}"
551310,Cocretas,"{1/2 lb. ground pork,1 large baking potato,1 egg}","{Boil potato then mash.,(Do not overcook.),Saute meat until golden brown.,Drain extra fat.,Combine meat and mashed potato. Form into balls or egg shape.,Coat with beaten egg and deep fry.}",www.cookbooks.com/Recipe-Details.aspx?id=838690,Gathered,"{ground pork,baking potato,egg}"
551311,German Potato Salad,"{4 slices bacon,""6 medium potatoes, cooked, peeled and sliced 1/4-inch thick"",2 Tbsp. flour,1/2 c. plus 1 Tbsp. vinegar (add enough water for 1 c.),3/4 c. sugar,""2 hard-boiled eggs, sliced"",1 1/2 tsp. salt,1/4 tsp. pepper,3/4 tsp. celery seed,1/3 c. chopped onion,1/4 c. green pepper,2 Tbsp. chopped pimiento,2 Tbsp. snipped parsley,1 tsp. mustard}","{Keep potatoes warm.,""In skillet, cook bacon until crisp, drain and reserve drippings."",Crumble bacon; set aside.,""To drippings in skillet, add flour and vinegar mix."",Cook and stir until slightly thick and bubbly.,""After mix thickens, blend in sugar, salt, pepper, celery seed, onion, green pepper, pimientos, parsley and mustard."",Gently stir in warm sliced potatoes and bacon.,Add eggs.,Heat through.}",www.cookbooks.com/Recipe-Details.aspx?id=575827,Gathered,"{bacon,potatoes,flour,vinegar,sugar,eggs,salt,pepper,celery seed,onion,green pepper,pimiento,parsley,mustard}"
551312,Soba(Cold Noodles),"{1/2 c. chicken broth,1/4 c. shoyu,1/2 c. rice vinegar,1/4 c. sugar,1/2 tsp. salt,1 tsp. dry mustard,""1 slice ginger, minced"",""1 pkg. soba noodles, cooked""}","{Heat all sauce ingredients and set aside to cool.,Cook Japanese soba noodles in boiling water until barely tender.,Drain and rinse well in cold water.,""Refrigerate until ready to serve. When eaten, noodles are picked up with chopsticks and dipped in the sauce and slurped."",What we like is to mix the whole thing up and eat like pasta salad.}",www.cookbooks.com/Recipe-Details.aspx?id=687553,Gathered,"{chicken broth,shoyu,rice vinegar,sugar,salt,dry mustard,ginger,noodles}"
551313,Squash Casserole,"{""3 c. squash, diced"",1/2 c. sour cream,1/2 tsp. salt,4 oz. grated Cheddar cheese,1/8 tsp. paprika,""1 egg yolk, beaten"",1 Tbsp. chives,bread crumbs}","{Simmer squash in water for 6 minutes.,Drain squash.,""Mix sour cream, butter, salt and paprika."",Gradually stir in cheese on low heat as it melts.,Add egg and chives.,Sprinkle top with bread crumbs.,Bake at 375u00b0 until brown.}",www.cookbooks.com/Recipe-Details.aspx?id=242450,Gathered,"{sour cream,salt,Cheddar cheese,paprika,egg yolk,chives,bread crumbs}"
551314,Pineapple Dessert Cake,"{1 Jiffy cake mix (white or yellow),1 (8 oz.) pkg. cream cheese,2 c. milk,1 pkg. instant vanilla pudding,""1 (No. 2 1/2 can) crushed pineapple, drained""}","{Mix up cake mix according to package directions.,Put in a greased and floured 9 x 13-inch pan.,Bake at 350u00b0 for 15 to 18 minutes.,It will be a thin layer; cool.,Blend the cream cheese with the milk.,Add vanilla pudding.,""Mix 1 minute, then pour over cooled cake."",""Spread crushed pineapple over cheese layer, then cover all with a large container of Cool Whip and sprinkle with chopped nuts."",May add some maraschino cherries for garnish.,Cool 8 to 10 hours or overnight.}",www.cookbooks.com/Recipe-Details.aspx?id=684733,Gathered,"{cake mix,cream cheese,milk,instant vanilla pudding,pineapple}"
551315,Vermicelli Bake,"{1 pkg. vermicelli,1 small jar spaghetti sauce,1 c. Mozzarella cheese,1 c. Cheddar cheese,1/2 c. Romano cheese,1/2 c. Parmesan cheese,1 lb. hamburger}","{Cook vermicelli as directed; drain.,Brown hamburger; drain. Mix hamburger and spaghetti sauce; add vermicelli.,""In a deep loaf pan, layer the spaghetti, Mozzarella cheese, Parmesan cheese, spaghetti, Cheddar cheese and Romano cheese."",Preheat oven to 350u00b0.,Bake 10 minutes or until cheese has melted.,Slice to serve.}",www.cookbooks.com/Recipe-Details.aspx?id=665363,Gathered,"{vermicelli,spaghetti sauce,Mozzarella cheese,Cheddar cheese,Romano cheese,Parmesan cheese,hamburger}"
551316,Beef Fondue,"{4 lb. tenderloin or lean tender sirloin,1 pt. vegetable oil or peanut oil,Ketchup With Horseradish Sauce,Bearnaise Sauce,Garlic Sauce,Horseradish Sauce,Aurora Sauce}","{Cut beef into 2-inch cubes and salt and pepper.,Have sauces prepared.,Pour oil into metal fondue pot and heat it on the stove.,Place the pot on the chafing dish burner and begin.}",www.cookbooks.com/Recipe-Details.aspx?id=915200,Gathered,"{tenderloin,vegetable oil,Ketchup,Bearnaise Sauce,Garlic Sauce,Horseradish Sauce,Sauce}"
551317,Quiche Lorraine,"{1 unbaked pie shell,6 to 8 slices thick bacon,1 1/4 to 1 1/2 c. cream or milk,3 eggs,pinch of pepper,1/4 tsp. salt,""1 c. Swiss cheese, shredded""}","{Brown bacon and sprinkle in bottom of pie shell.,""Add cheese. Mix eggs, cream and seasonings."",Pour over all.,Bake for 25 to 30 minutes until brown and puffy.}",www.cookbooks.com/Recipe-Details.aspx?id=129097,Gathered,"{shell,bacon,cream,eggs,pepper,salt,Swiss cheese}"
